b1r5,b6r1,b6r5a,b6r5b,b7r24,b7r25,b7r26a,b7r26b,jart,exp_cap
2,1,72,36,1525366.66666667,4053938.0952381,1,2,9,450437.566137566
2,1,54,420,207500,453928.571428571,0,0,3,151309.523809524
2,1,30,80,242250,827250,1,1,6,137875
2,1,35,96,82058.3333333333,285629.761904762,0,0,1,285629.761904762
2,1,30,70,106833.333333333,396119.047619048,1,1,1,396119.047619048
2,1,30,366,103583.333333333,337154.761904762,0,0,2,168577.380952381
2,6,42,142,129833.333333333,433261.904761905,1,2,4,108315.476190476
2,1,30,225,334583.333333333,1408154.76190476,7,2,5,281630.952380952
2,1,54,252,137250,844392.857142857,1,1,4,211098.214285714
2,1,20,300,156250,833392.857142857,2,2,5,166678.571428571
2,1,42,300,398500,925642.857142857,0,0,3,308547.619047619
2,1,30,450,123083.333333333,585940.476190476,2,2,5,117188.095238095
2,1,36,120,185333.333333333,802904.761904762,1,3,4,200726.19047619
2,6,45,90,305750,826035.714285714,1,2,7,118005.102040816
2,6,86,450,407208.333333333,1037208.33333333,1,1,5,207441.666666667
2,1,38,420,273666.666666667,1123952.38095238,1,2,4,280988.095238095
2,1,30,225,232333.333333333,845190.476190476,1,1,5,169038.095238095
2,1,150,226,976500,2253642.85714286,13,1,4,563410.714285714
2,1,48,200,267291.666666667,991148.809523809,12,1,4,247787.202380952
2,6,35,150,204166.666666667,581309.523809524,1,2,3,193769.841269841
2,1,96,448,470000,1191285.71428571,13,1,5,238257.142857143
2,1,72,360,187875,757875,1,2,3,252625
2,1,42,100,292000,1247714.28571429,1,1,4,311928.571428571
2,1,70,120,1759375,4159375,13,2,5,831875
2,1,72,280,539666.666666667,1351809.52380952,1,2,5,270361.904761905
2,1,30,600,557333.333333333,1150904.76190476,1,1,4,287726.19047619
2,1,30,90,128333.333333333,556904.761904762,1,1,4,139226.19047619
2,1,54,988,274125,678696.428571429,1,2,3,226232.142857143
2,1,30,110,271000,865000,6,1,6,144166.666666667
2,6,42,280,227958.333333333,1051672.61904762,6,1,3,350557.53968254
2,1,42,112,137083.333333333,516369.047619048,2,2,3,172123.015873016
2,1,63,135,701458.333333333,1310029.76190476,2,2,5,262005.952380952
2,1,20,70,165625,569767.857142857,2,1,3,189922.619047619
2,1,30,80,148333.333333333,598333.333333333,2,1,4,149583.333333333
2,1,68,120,598750,1220178.57142857,1,2,5,244035.714285714
2,1,70,110,255166.666666667,685452.380952381,1,0,4,171363.095238095
2,1,77,150,261225,741225,1,0,5,148245
2,1,52,96,113333.333333333,318190.476190476,1,1,4,79547.6190476191
2,1,63,142,256458.333333333,729172.619047619,1,0,4,182293.154761905
2,4,40,70,151750,488178.571428571,13,1,3,162726.19047619
2,1,35,82,166666.666666667,401095.238095238,1,0,2,200547.619047619
2,6,12,28,213833.333333333,489833.333333333,0,0,2,244916.666666667
1,1,108,270,525933.333333333,1341933.33333333,1,2,6,223655.555555556
1,6,84,150,646275,1637560.71428571,1,2,4,409390.178571429
2,1,77,108,392825,1216110.71428571,6,1,4,304027.678571429
1,6,80,100,757016.666666667,1765445.23809524,13,1,5,353089.047619048
1,1,63,108,432400,1193114.28571429,4,2,3,397704.761904762
1,6,30,48,230500,765785.714285714,9,1,2,382892.857142857
2,1,54,72,383833.333333333,1437690.47619048,1,2,4,359422.619047619
2,6,101,124,309083.333333333,1132797.61904762,1,2,4,283199.404761905
2,1,24,48,395083.333333333,967226.190476191,1,2,3,322408.73015873
2,1,63,150,610150,1436435.71428571,7,2,6,239405.952380952
2,1,48,150,270041.666666667,865755.952380952,1,3,3,288585.317460317
2,4,30,72,221750,753178.571428571,7,2,4,188294.642857143
2,1,96,150,304416.666666667,977273.809523809,1,2,5,195454.761904762
2,1,112,160,466000,1072428.57142857,1,2,3,357476.19047619
2,1,64,625,308416.666666667,786273.809523809,13,1,2,393136.904761905
2,1,63,150,306250,927678.571428571,1,2,4,231919.642857143
2,1,104,150,376666.666666667,923095.238095238,12,1,4,230773.80952381
2,1,28,72,107833.333333333,418547.619047619,1,2,3,139515.873015873
2,3,35,360,221208.333333333,675494.047619048,1,1,3,225164.682539683
2,6,46,48,119066.666666667,648780.952380952,7,2,3,216260.317460317
2,1,63,180,186083.333333333,828940.476190476,1,2,5,165788.095238095
2,1,60,96,297833.333333333,1176404.76190476,2,1,6,196067.46031746
2,1,70,400,866666.666666667,1936809.52380952,2,2,8,242101.19047619
2,2,54,150,259666.666666667,683095.238095238,1,2,2,341547.619047619
2,1,30,56,246333.333333333,847619.047619048,9,2,4,211904.761904762
2,1,28,200,221500,1020785.71428571,15,1,5,204157.142857143
2,1,90,400,465416.666666667,1206845.23809524,4,2,5,241369.047619048
2,1,90,120,187916.666666667,635773.809523809,6,1,5,127154.761904762
2,1,80,150,195583.333333333,652011.904761905,9,1,4,163002.976190476
2,1,42,100,128583.333333333,711440.476190476,1,1,5,142288.095238095
2,1,40,120,92916.6666666667,735773.809523809,1,1,4,183943.452380952
2,1,66,80,319333.333333333,970333.333333333,1,2,3,323444.444444444
2,1,78,156,550833.333333333,1595690.47619048,0,0,6,265948.412698413
2,1,84,130,611916.666666667,1412488.0952381,13,1,3,470829.365079365
2,1,48,120,281000,1202000,1,2,4,300500
2,1,36,52,152583.333333333,692583.333333333,1,2,2,346291.666666667
2,6,42,120,198583.333333333,890297.619047619,1,2,4,222574.404761905
2,1,42,84,354333.333333333,1111190.47619048,6,2,5,222238.095238095
2,6,33,103,382416.666666667,1042416.66666667,1,2,3,347472.222222222
2,1,48,120,242333.333333333,1103761.9047619,1,2,4,275940.476190476
2,1,90,264,893000,1764285.71428571,7,2,3,588095.238095238
2,1,160,520,434125,899125,1,2,3,299708.333333333
2,1,48,80,327416.666666667,1051702.38095238,9,2,4,262925.595238095
2,1,36,49,287875,668017.857142857,1,2,3,222672.619047619
2,1,80,160,370833.333333333,2140833.33333333,1,2,10,214083.333333333
2,1,60,120,543416.666666667,1346988.0952381,13,1,5,269397.619047619
2,1,40,80,128625,740625,1,2,2,370312.5
2,1,70,140,500166.666666667,1655166.66666667,1,2,7,236452.380952381
2,1,120,250,552558.333333333,1664701.19047619,1,2,5,332940.238095238
2,1,80,300,264500,631785.714285714,1,2,2,315892.857142857
