b1r5,b6r1,b6r5a,b6r5b,b7r24,b7r25,b7r26a,b7r26b,jart,exp_cap
1,6,135,260,654000,1096285.71428571,0,0,3,365428.571428571
1,6,42,150,219166.666666667,954166.666666667,1,1,3,318055.555555556
1,1,25,600,242000,1598857.14285714,1,2,5,319771.428571429
1,1,36,80,470975,1456689.28571429,9,1,5,291337.857142857
1,1,48,150,360850,1356421.42857143,1,2,5,271284.285714286
2,1,63,193,686500,1367928.57142857,12,0,4,341982.142857143
2,1,70,70,239458.333333333,1335744.04761905,2,2,6,222624.007936508
2,1,20,25,88833.3333333333,654547.619047619,1,2,3,218182.53968254
2,6,42,120,137833.333333333,675690.476190476,1,2,3,225230.158730159
2,1,42,70,129533.333333333,563676.190476191,3,2,3,187892.063492064
2,1,30,120,191416.666666667,995416.666666667,1,2,5,199083.333333333
2,1,25,25,167333.333333333,708190.476190476,2,2,8,88523.8095238095
2,1,48,48,486583.333333333,1214297.61904762,1,2,3,404765.873015873
2,1,50,55,117166.666666667,287309.523809524,1,2,2,143654.761904762
2,1,30,30,65683.3333333333,618540.476190476,2,2,4,154635.119047619
2,1,60,75,73083.3333333333,619083.333333333,1,2,4,154770.833333333
2,1,50,150,416933.333333333,948361.904761905,1,2,5,189672.380952381
2,4,20,80,169500,617357.142857143,15,1,2,308678.571428571
2,1,36,42,202083.333333333,699226.190476191,1,2,5,139845.238095238
2,1,48,200,210125,668696.428571429,1,2,4,167174.107142857
2,6,30,120,260125,696839.285714286,2,1,4,174209.821428571
2,1,30,150,182825,1119253.57142857,1,2,4,279813.392857143
2,1,30,150,73041.6666666667,443755.952380952,1,2,2,221877.976190476
2,6,30,100,93041.6666666667,532327.380952381,1,2,2,266163.69047619
2,1,35,150,330250,1277392.85714286,1,2,4,319348.214285714
2,1,35,150,169316.666666667,754316.666666667,1,2,5,150863.333333333
2,1,35,150,241666.666666667,942380.952380952,1,2,3,314126.984126984
2,1,20,36,96000,657428.571428571,16,1,4,164357.142857143
2,3,30,49,90166.6666666667,606595.238095238,7,2,3,202198.412698413
2,1,63,72,329250,1203535.71428571,13,2,4,300883.928571429
2,1,30,56,46375,320660.714285714,1,0,1,320660.714285714
2,5,80,120,167083.333333333,958226.190476191,13,1,5,191645.238095238
2,6,63,300,381125,1004267.85714286,1,2,4,251066.964285714
2,1,90,240,758416.666666667,1672559.52380952,13,1,3,557519.841269841
2,1,45,280,812000,1492142.85714286,2,2,5,298428.571428571
2,1,80,200,472416.666666667,1369416.66666667,7,2,6,228236.111111111
2,1,30,260,133625,629053.571428571,1,2,3,209684.523809524
2,1,30,380,220658.333333333,639372.619047619,1,1,6,106562.103174603
2,1,91,120,509916.666666667,1261630.95238095,7,2,3,420543.650793651
2,1,56,200,381025,1032453.57142857,13,1,5,206490.714285714
1,1,60,190,1160416.66666667,2221130.95238095,12,1,4,555282.738095238
1,1,63,126,570958.333333333,1512529.76190476,15,2,4,378132.44047619
